ts=17181392644, type=DATA_MAG, x=132162, y=130319, z=131576
ts=17181392656, type=DATA_MAG, x=132192, y=130334, z=131584
ts=17181392664, type=DATA_MAG, x=132186, y=130335, z=131573
ts=17181392672, type=DATA_MAG, x=132193, y=130336, z=131584
ts=17181392684, type=DATA_MAG, x=132181, y=130330, z=131587
ts=17181392692, type=DATA_MAG, x=132190, y=130336, z=131599
ts=17181392704, type=DATA_MAG, x=132178, y=130351, z=131591
ts=17181392712, type=DATA_MAG, x=132202, y=130333, z=131588
ts=17181392720, type=DATA_MAG, x=132204, y=130326, z=131577
ts=17181392732, type=DATA_MAG, x=132196, y=130322, z=131587
ts=17181392740, type=DATA_MAG, x=132173, y=130346, z=131607
ts=17181392752, type=DATA_MAG, x=132190, y=130327, z=131618
ts=17181392760, type=DATA_MAG, x=132206, y=130325, z=131585
ts=17181392768, type=DATA_MAG, x=132201, y=130333, z=131583
ts=17181392780, type=DATA_MAG, x=132204, y=130334, z=131577
ts=17181392788, type=DATA_MAG, x=132181, y=130338, z=131587
ts=17181392800, type=DATA_MAG, x=132203, y=130333, z=131576
ts=17181392808, type=DATA_MAG, x=132191, y=130323, z=131583
ts=17181392816, type=DATA_MAG, x=132207, y=130328, z=131592
ts=17181392828, type=DATA_MAG, x=132193, y=130318, z=131594
ts=17181392836, type=DATA_MAG, x=132206, y=130338, z=131574
ts=17181392848, type=DATA_MAG, x=132196, y=130332, z=131582
ts=17181392856, type=DATA_MAG, x=132198, y=130345, z=131581
ts=17181392864, type=DATA_MAG, x=132160, y=130357, z=131584
ts=17181392876, type=DATA_MAG, x=132201, y=130337, z=131598
ts=17181392884, type=DATA_MAG, x=132194, y=130327, z=131586
ts=17181392896, type=DATA_MAG, x=132202, y=130326, z=131589
ts=17181392904, type=DATA_MAG, x=132200, y=130320, z=131589
ts=17181392912, type=DATA_MAG, x=132190, y=130324, z=131604
ts=17181392924, type=DATA_MAG, x=132095, y=130489, z=131578
ts=17181392932, type=DATA_MAG, x=132015, y=130524, z=131688
ts=17181392944, type=DATA_MAG, x=132083, y=130446, z=131599
ts=17181392952, type=DATA_MAG, x=132019, y=130524, z=131600
ts=17181392960, type=DATA_MAG, x=132055, y=130451, z=131601
ts=17181392972, type=DATA_MAG, x=132047, y=130511, z=131606
ts=17181392980, type=DATA_MAG, x=132029, y=130460, z=131635
ts=17181392992, type=DATA_MAG, x=132059, y=130459, z=131603
ts=17181393000, type=DATA_MAG, x=132137, y=130354, z=131625
ts=17181393008, type=DATA_MAG, x=132174, y=130341, z=131593
ts=17181393020, type=DATA_MAG, x=132167, y=130344, z=131592
ts=17181393028, type=DATA_MAG, x=132178, y=130334, z=131597
ts=17181393040, type=DATA_MAG, x=132173, y=130342, z=131597
ts=17181393048, type=DATA_MAG, x=132185, y=130328, z=131599
ts=17181393056, type=DATA_MAG, x=132206, y=130344, z=131579
ts=17181393068, type=DATA_MAG, x=132192, y=130328, z=131607
ts=17181393076, type=DATA_MAG, x=132201, y=130339, z=131601
ts=17181393088, type=DATA_MAG, x=132193, y=130329, z=131588
ts=17181393096, type=DATA_MAG, x=132201, y=130341, z=131598
ts=17181393108, type=DATA_MAG, x=132196, y=130333, z=131593
ts=17181393116, type=DATA_MAG, x=132197, y=130339, z=131593
ts=17181393124, type=DATA_MAG, x=132191, y=130330, z=131589
ts=17181393136, type=DATA_MAG, x=132209, y=130326, z=131594
ts=17181393144, type=DATA_MAG, x=132202, y=130329, z=131588
ts=17181393156, type=DATA_MAG, x=132201, y=130325, z=131595
ts=17181393164, type=DATA_MAG, x=132199, y=130338, z=131584
ts=17181393172, type=DATA_MAG, x=132202, y=130340, z=131594
ts=17181393184, type=DATA_MAG, x=132197, y=130314, z=131589
ts=17181393192, type=DATA_MAG, x=132204, y=130327, z=131598
