ts=17187241108, type=DATA_MAG, x=136222, y=129219, z=128254
ts=17187241120, type=DATA_MAG, x=136223, y=129207, z=128246
ts=17187241128, type=DATA_MAG, x=136226, y=129218, z=128255
ts=17187241136, type=DATA_MAG, x=136248, y=129206, z=128247
ts=17187241148, type=DATA_MAG, x=136242, y=129233, z=128248
ts=17187241156, type=DATA_MAG, x=136243, y=129208, z=128257
ts=17187241168, type=DATA_MAG, x=136237, y=129226, z=128262
ts=17187241176, type=DATA_MAG, x=136246, y=129203, z=128248
ts=17187241184, type=DATA_MAG, x=136253, y=129213, z=128258
ts=17187241196, type=DATA_MAG, x=136246, y=129206, z=128257
ts=17187241204, type=DATA_MAG, x=136213, y=129242, z=128330
ts=17187241216, type=DATA_MAG, x=136242, y=129209, z=128253
ts=17187241224, type=DATA_MAG, x=136254, y=129228, z=128254
ts=17187241232, type=DATA_MAG, x=136236, y=129216, z=128245
ts=17187241244, type=DATA_MAG, x=136254, y=129225, z=128256
ts=17187241252, type=DATA_MAG, x=136245, y=129218, z=128257
ts=17187241264, type=DATA_MAG, x=136255, y=129216, z=128262
ts=17187241272, type=DATA_MAG, x=136243, y=129227, z=128251
ts=17187241280, type=DATA_MAG, x=136255, y=129215, z=128258
ts=17187241292, type=DATA_MAG, x=136240, y=129220, z=128242
ts=17187241300, type=DATA_MAG, x=136251, y=129212, z=128269
ts=17187241312, type=DATA_MAG, x=136234, y=129237, z=128251
ts=17187241320, type=DATA_MAG, x=136250, y=129229, z=128248
ts=17187241328, type=DATA_MAG, x=136244, y=129230, z=128250
ts=17187241340, type=DATA_MAG, x=136250, y=129211, z=128253
ts=17187241348, type=DATA_MAG, x=136249, y=129226, z=128249
ts=17187241360, type=DATA_MAG, x=136251, y=129224, z=128259
ts=17187241368, type=DATA_MAG, x=136248, y=129233, z=128256
ts=17187241376, type=DATA_MAG, x=136248, y=129227, z=128256
ts=17187241388, type=DATA_MAG, x=136243, y=129230, z=128250
ts=17187241396, type=DATA_MAG, x=136250, y=129219, z=128258
ts=17187241408, type=DATA_MAG, x=136238, y=129249, z=128263
ts=17187241416, type=DATA_MAG, x=136245, y=129227, z=128256
ts=17187241424, type=DATA_MAG, x=136248, y=129248, z=128242
ts=17187241436, type=DATA_MAG, x=136165, y=129253, z=128265
ts=17187241444, type=DATA_MAG, x=136218, y=129245, z=128254
ts=17187241456, type=DATA_MAG, x=136211, y=129238, z=128268
ts=17187241464, type=DATA_MAG, x=136233, y=129238, z=128257
ts=17187241472, type=DATA_MAG, x=136226, y=129228, z=128262
ts=17187241484, type=DATA_MAG, x=136229, y=129227, z=128261
ts=17187241492, type=DATA_MAG, x=136217, y=129224, z=128252
ts=17187241504, type=DATA_MAG, x=136234, y=129232, z=128260
ts=17187241512, type=DATA_MAG, x=136223, y=129230, z=128265
ts=17187241520, type=DATA_MAG, x=136238, y=129231, z=128268
ts=17187241532, type=DATA_MAG, x=136243, y=129248, z=128255
ts=17187241540, type=DATA_MAG, x=136259, y=129231, z=128246
ts=17187241552, type=DATA_MAG, x=136236, y=129242, z=128257
ts=17187241560, type=DATA_MAG, x=136254, y=129234, z=128254
ts=17187241568, type=DATA_MAG, x=136241, y=129241, z=128258
ts=17187241580, type=DATA_MAG, x=136248, y=129233, z=128263
ts=17187241588, type=DATA_MAG, x=136244, y=129242, z=128257
ts=17187241600, type=DATA_MAG, x=136247, y=129235, z=128251
ts=17187241608, type=DATA_MAG, x=136241, y=129258, z=128250
ts=17187241616, type=DATA_MAG, x=136247, y=129243, z=128261
ts=17187241628, type=DATA_MAG, x=136241, y=129258, z=128252
ts=17187241636, type=DATA_MAG, x=136245, y=129234, z=128260
ts=17187241648, type=DATA_MAG, x=136247, y=129252, z=128252
ts=17187241656, type=DATA_MAG, x=136241, y=129233, z=128253
ts=17187241664, type=DATA_MAG, x=136244, y=129254, z=128270
ts=17187241676, type=DATA_MAG, x=136245, y=129229, z=128243
ts=17187241684, type=DATA_MAG, x=136250, y=129249, z=128261
ts=17187241696, type=DATA_MAG, x=136245, y=129227, z=128261
ts=17187241704, type=DATA_MAG, x=136241, y=129262, z=128262
ts=17187241712, type=DATA_MAG, x=136244, y=129240, z=128260
ts=17187241724, type=DATA_MAG, x=136250, y=129251, z=128268
ts=17187241732, type=DATA_MAG, x=136246, y=129243, z=128258
ts=17187241744, type=DATA_MAG, x=136226, y=129276, z=128285
ts=17187241752, type=DATA_MAG, x=136241, y=129247, z=128266
ts=17187241764, type=DATA_MAG, x=136245, y=129251, z=128261
ts=17187241772, type=DATA_MAG, x=136238, y=129244, z=128262
ts=17187241780, type=DATA_MAG, x=136260, y=129238, z=128272
ts=17187241792, type=DATA_MAG, x=136235, y=129249, z=128263
ts=17187241800, type=DATA_MAG, x=136260, y=129247, z=128258
ts=17187241812, type=DATA_MAG, x=136249, y=129258, z=128252
ts=17187241820, type=DATA_MAG, x=136253, y=129245, z=128268
ts=17187241828, type=DATA_MAG, x=136240, y=129251, z=128263
ts=17187241840, type=DATA_MAG, x=136258, y=129237, z=128258
ts=17187241848, type=DATA_MAG, x=136247, y=129266, z=128245
ts=17187241860, type=DATA_MAG, x=136247, y=129252, z=128260
ts=17187241868, type=DATA_MAG, x=136234, y=129275, z=128264
ts=17187241876, type=DATA_MAG, x=136242, y=129252, z=128252
ts=17187241888, type=DATA_MAG, x=136251, y=129258, z=128260
ts=17187241896, type=DATA_MAG, x=136244, y=129238, z=128245
ts=17187241908, type=DATA_MAG, x=136248, y=129259, z=128268
ts=17187241916, type=DATA_MAG, x=136254, y=129240, z=128257
ts=17187241924, type=DATA_MAG, x=136252, y=129252, z=128269
ts=17187241936, type=DATA_MAG, x=136246, y=129250, z=128260
ts=17187241944, type=DATA_MAG, x=136250, y=129263, z=128263
ts=17187241956, type=DATA_MAG, x=136216, y=129295, z=128254
ts=17187241964, type=DATA_MAG, x=136265, y=129258, z=128272
ts=17187241972, type=DATA_MAG, x=136249, y=129254, z=128270
ts=17187241984, type=DATA_MAG, x=136264, y=129261, z=128258
ts=17187241992, type=DATA_MAG, x=136253, y=129256, z=128257
ts=17187242004, type=DATA_MAG, x=136269, y=129258, z=128267
ts=17187242012, type=DATA_MAG, x=136250, y=129249, z=128263
ts=17187242020, type=DATA_MAG, x=136267, y=129236, z=128269
ts=17187242032, type=DATA_MAG, x=136254, y=129251, z=128258
ts=17187242040, type=DATA_MAG, x=136275, y=129241, z=128273
ts=17187242052, type=DATA_MAG, x=136259, y=129262, z=128259
ts=17187242060, type=DATA_MAG, x=136259, y=129251, z=128278
ts=17187242068, type=DATA_MAG, x=136255, y=129261, z=128268
ts=17187242080, type=DATA_MAG, x=136261, y=129248, z=128267
ts=17187242088, type=DATA_MAG, x=136261, y=129264, z=128262
ts=17187242100, type=DATA_MAG, x=136272, y=129261, z=128275
ts=17187242108, type=DATA_MAG, x=136256, y=129264, z=128262
ts=17187242116, type=DATA_MAG, x=136258, y=129255, z=128263
ts=17187242128, type=DATA_MAG, x=136258, y=129267, z=128256
ts=17187242136, type=DATA_MAG, x=136266, y=129247, z=128253
ts=17187242148, type=DATA_MAG, x=136262, y=129265, z=128271
ts=17187242156, type=DATA_MAG, x=136258, y=129248, z=128269
ts=17187242164, type=DATA_MAG, x=136265, y=129270, z=128257
ts=17187242176, type=DATA_MAG, x=136250, y=129250, z=128252
ts=17187242184, type=DATA_MAG, x=136268, y=129274, z=128287
ts=17187242196, type=DATA_MAG, x=136258, y=129260, z=128254
ts=17187242204, type=DATA_MAG, x=136210, y=129284, z=128352
ts=17187242212, type=DATA_MAG, x=136255, y=129264, z=128257
ts=17187242224, type=DATA_MAG, x=136262, y=129253, z=128261
ts=17187242232, type=DATA_MAG, x=136201, y=129293, z=128267
ts=17187242244, type=DATA_MAG, x=136148, y=129316, z=128321
ts=17187242252, type=DATA_MAG, x=136216, y=129271, z=128259
ts=17187242260, type=DATA_MAG, x=136207, y=129266, z=128290
ts=17187242272, type=DATA_MAG, x=136218, y=129259, z=128251
ts=17187242280, type=DATA_MAG, x=136236, y=129251, z=128261
ts=17187242292, type=DATA_MAG, x=136220, y=129255, z=128246
ts=17187242300, type=DATA_MAG, x=136227, y=129234, z=128232
ts=17187242308, type=DATA_MAG, x=136220, y=129249, z=128239
ts=17187242320, type=DATA_MAG, x=136232, y=129225, z=128239
ts=17187242328, type=DATA_MAG, x=136214, y=129231, z=128244
ts=17187242340, type=DATA_MAG, x=136252, y=129208, z=128214
ts=17187242348, type=DATA_MAG, x=136249, y=129214, z=128225
ts=17187242356, type=DATA_MAG, x=136246, y=129188, z=128207
ts=17187242368, type=DATA_MAG, x=136250, y=129194, z=128199
ts=17187242376, type=DATA_MAG, x=136252, y=129174, z=128204
ts=17187242388, type=DATA_MAG, x=136244, y=129194, z=128197
ts=17187242396, type=DATA_MAG, x=136249, y=129164, z=128164
ts=17187242404, type=DATA_MAG, x=136250, y=129159, z=128173
ts=17187242416, type=DATA_MAG, x=136243, y=129143, z=128173
ts=17187242424, type=DATA_MAG, x=136252, y=129144, z=128179
ts=17187242436, type=DATA_MAG, x=136240, y=129126, z=128145
ts=17187242444, type=DATA_MAG, x=136242, y=129137, z=128166
ts=17187242452, type=DATA_MAG, x=136238, y=129113, z=128133
ts=17187242464, type=DATA_MAG, x=136252, y=129105, z=128138
ts=17187242472, type=DATA_MAG, x=136236, y=129100, z=128125
ts=17187242484, type=DATA_MAG, x=136240, y=129088, z=128124
ts=17187242492, type=DATA_MAG, x=136236, y=129083, z=128106
ts=17187242500, type=DATA_MAG, x=136247, y=129077, z=128126
ts=17187242512, type=DATA_MAG, x=136236, y=129065, z=128101
ts=17187242520, type=DATA_MAG, x=136244, y=129047, z=128088
ts=17187242532, type=DATA_MAG, x=136237, y=129035, z=128078
ts=17187242540, type=DATA_MAG, x=136247, y=129010, z=128077
ts=17187242548, type=DATA_MAG, x=136237, y=129010, z=128072
ts=17187242560, type=DATA_MAG, x=136241, y=128989, z=128058
ts=17187242568, type=DATA_MAG, x=136230, y=128998, z=128062
ts=17187242580, type=DATA_MAG, x=136239, y=128963, z=128065
ts=17187242588, type=DATA_MAG, x=136233, y=128963, z=128046
ts=17187242596, type=DATA_MAG, x=136241, y=128940, z=128029
ts=17187242608, type=DATA_MAG, x=136241, y=128925, z=128018
ts=17187242616, type=DATA_MAG, x=136238, y=128912, z=128012
ts=17187242628, type=DATA_MAG, x=136240, y=128910, z=128017
ts=17187242636, type=DATA_MAG, x=136161, y=128931, z=128024
ts=17187242644, type=DATA_MAG, x=136218, y=128876, z=128014
ts=17187242656, type=DATA_MAG, x=136190, y=128859, z=128008
ts=17187242664, type=DATA_MAG, x=136217, y=128831, z=127966
ts=17187242676, type=DATA_MAG, x=136208, y=128814, z=127964
ts=17187242684, type=DATA_MAG, x=136212, y=128790, z=127952
ts=17187242692, type=DATA_MAG, x=136200, y=128765, z=127933
ts=17187242704, type=DATA_MAG, x=136199, y=128767, z=127936
ts=17187242712, type=DATA_MAG, x=136211, y=128739, z=127923
ts=17187242724, type=DATA_MAG, x=136219, y=128722, z=127907
ts=17187242732, type=DATA_MAG, x=136221, y=128693, z=127890
ts=17187242740, type=DATA_MAG, x=136222, y=128704, z=127889
ts=17187242752, type=DATA_MAG, x=136216, y=128666, z=127881
ts=17187242760, type=DATA_MAG, x=136235, y=128641, z=127887
ts=17187242772, type=DATA_MAG, x=136222, y=128638, z=127879
ts=17187242780, type=DATA_MAG, x=136236, y=128601, z=127857
ts=17187242792, type=DATA_MAG, x=136222, y=128584, z=127851
ts=17187242800, type=DATA_MAG, x=136232, y=128549, z=127835
ts=17187242808, type=DATA_MAG, x=136224, y=128550, z=127826
ts=17187242820, type=DATA_MAG, x=136231, y=128502, z=127823
ts=17187242828, type=DATA_MAG, x=136230, y=128506, z=127821
ts=17187242836, type=DATA_MAG, x=136239, y=128477, z=127819
ts=17187242848, type=DATA_MAG, x=136226, y=128473, z=127800
ts=17187242856, type=DATA_MAG, x=136229, y=128442, z=127816
ts=17187242868, type=DATA_MAG, x=136236, y=128420, z=127790
ts=17187242876, type=DATA_MAG, x=136221, y=128389, z=127782
ts=17187242888, type=DATA_MAG, x=136229, y=128373, z=127784
ts=17187242896, type=DATA_MAG, x=136223, y=128323, z=127782
ts=17187242904, type=DATA_MAG, x=136231, y=128335, z=127764
ts=17187242916, type=DATA_MAG, x=136227, y=128295, z=127754
ts=17187242924, type=DATA_MAG, x=136235, y=128281, z=127761
ts=17187242936, type=DATA_MAG, x=136226, y=128236, z=127748
ts=17187242944, type=DATA_MAG, x=136228, y=128227, z=127744
ts=17187242952, type=DATA_MAG, x=136220, y=128190, z=127742
ts=17187242964, type=DATA_MAG, x=136234, y=128173, z=127723
ts=17187242972, type=DATA_MAG, x=136228, y=128144, z=127725
ts=17187242984, type=DATA_MAG, x=136241, y=128130, z=127724
ts=17187242992, type=DATA_MAG, x=136225, y=128089, z=127726
ts=17187243000, type=DATA_MAG, x=136233, y=128062, z=127709
ts=17187243012, type=DATA_MAG, x=136217, y=128048, z=127702
ts=17187243020, type=DATA_MAG, x=136236, y=128005, z=127705
ts=17187243032, type=DATA_MAG, x=136222, y=127977, z=127693
ts=17187243040, type=DATA_MAG, x=136233, y=127939, z=127703
ts=17187243048, type=DATA_MAG, x=136228, y=127917, z=127690
ts=17187243060, type=DATA_MAG, x=136237, y=127881, z=127697
ts=17187243068, type=DATA_MAG, x=136225, y=127858, z=127671
ts=17187243080, type=DATA_MAG, x=136234, y=127817, z=127695
ts=17187243088, type=DATA_MAG, x=136233, y=127794, z=127683
ts=17187243096, type=DATA_MAG, x=136234, y=127749, z=127689
ts=17187243108, type=DATA_MAG, x=136232, y=127738, z=127691
ts=17187243116, type=DATA_MAG, x=136237, y=127692, z=127693
ts=17187243128, type=DATA_MAG, x=136229, y=127684, z=127686
ts=17187243136, type=DATA_MAG, x=136237, y=127632, z=127703
ts=17187243144, type=DATA_MAG, x=136239, y=127612, z=127693
ts=17187243156, type=DATA_MAG, x=136237, y=127573, z=127689
ts=17187243164, type=DATA_MAG, x=136247, y=127556, z=127687
ts=17187243176, type=DATA_MAG, x=136224, y=127520, z=127707
ts=17187243184, type=DATA_MAG, x=136261, y=127493, z=127705
ts=17187243192, type=DATA_MAG, x=136244, y=127447, z=127708
ts=17187243204, type=DATA_MAG, x=136219, y=127448, z=127767
ts=17187243212, type=DATA_MAG, x=136249, y=127377, z=127718
ts=17187243224, type=DATA_MAG, x=136263, y=127356, z=127724
ts=17187243232, type=DATA_MAG, x=136249, y=127328, z=127711
ts=17187243240, type=DATA_MAG, x=136264, y=127298, z=127726
ts=17187243252, type=DATA_MAG, x=136254, y=127270, z=127718
ts=17187243260, type=DATA_MAG, x=136259, y=127245, z=127734
ts=17187243272, type=DATA_MAG, x=136257, y=127222, z=127728
ts=17187243280, type=DATA_MAG, x=136262, y=127183, z=127754
