ts=17186347396, type=CALIB_MAG_SET, x=129595, y=131132, z=131185
ts=17186347428, type=CALIB_MAG_RESET, x=132731, y=129152, z=132513
ts=17186347436, type=DATA_MAG, x=132732, y=129164, z=132531
ts=17186347448, type=DATA_MAG, x=132736, y=129170, z=132528
ts=17186347456, type=DATA_MAG, x=132753, y=129163, z=132539
ts=17186347468, type=DATA_MAG, x=132742, y=129165, z=132542
ts=17186347476, type=DATA_MAG, x=132777, y=129181, z=132544
ts=17186347484, type=DATA_MAG, x=132769, y=129163, z=132544
ts=17186347496, type=DATA_MAG, x=132780, y=129190, z=132563
ts=17186347504, type=DATA_MAG, x=132769, y=129188, z=132538
ts=17186347516, type=DATA_MAG, x=132774, y=129195, z=132552
ts=17186347524, type=DATA_MAG, x=132766, y=129190, z=132543
ts=17186347532, type=DATA_MAG, x=132776, y=129194, z=132553
ts=17186347544, type=DATA_MAG, x=132779, y=129197, z=132544
ts=17186347552, type=DATA_MAG, x=132780, y=129201, z=132559
ts=17186347564, type=DATA_MAG, x=132771, y=129191, z=132559
ts=17186347572, type=DATA_MAG, x=132775, y=129206, z=132563
ts=17186347580, type=DATA_MAG, x=132771, y=129203, z=132552
ts=17186347592, type=DATA_MAG, x=132773, y=129207, z=132572
ts=17186347600, type=DATA_MAG, x=132769, y=129205, z=132552
ts=17186347612, type=DATA_MAG, x=132765, y=129201, z=132574
ts=17186347620, type=DATA_MAG, x=132769, y=129200, z=132575
ts=17186347628, type=DATA_MAG, x=132769, y=129203, z=132584
ts=17186347640, type=DATA_MAG, x=132773, y=129221, z=132562
ts=17186347648, type=DATA_MAG, x=132766, y=129212, z=132568
ts=17186347660, type=DATA_MAG, x=132777, y=129223, z=132569
ts=17186347668, type=DATA_MAG, x=132768, y=129213, z=132564
ts=17186347676, type=DATA_MAG, x=132767, y=129230, z=132578
ts=17186347688, type=DATA_MAG, x=132765, y=129232, z=132568
ts=17186347696, type=DATA_MAG, x=132771, y=129227, z=132574
ts=17186347708, type=DATA_MAG, x=132759, y=129227, z=132574
ts=17186347716, type=DATA_MAG, x=132777, y=129225, z=132582
ts=17186347724, type=DATA_MAG, x=132770, y=129221, z=132579
ts=17186347736, type=DATA_MAG, x=132777, y=129236, z=132580
ts=17186347744, type=DATA_MAG, x=132766, y=129210, z=132568
ts=17186347756, type=DATA_MAG, x=132760, y=129224, z=132568
ts=17186347764, type=DATA_MAG, x=132764, y=129234, z=132568
ts=17186347772, type=DATA_MAG, x=132687, y=129287, z=132591
ts=17186347784, type=DATA_MAG, x=132747, y=129224, z=132581
ts=17186347792, type=DATA_MAG, x=132723, y=129250, z=132611
ts=17186347804, type=DATA_MAG, x=132744, y=129235, z=132557
ts=17186347812, type=DATA_MAG, x=132743, y=129230, z=132583
ts=17186347820, type=DATA_MAG, x=132743, y=129240, z=132581
ts=17186347832, type=DATA_MAG, x=132739, y=129229, z=132585
ts=17186347840, type=DATA_MAG, x=132737, y=129248, z=132574
ts=17186347852, type=DATA_MAG, x=132746, y=129258, z=132588
ts=17186347860, type=DATA_MAG, x=132746, y=129244, z=132583
ts=17186347868, type=DATA_MAG, x=132764, y=129248, z=132586
ts=17186347880, type=DATA_MAG, x=132765, y=129240, z=132568
ts=17186347888, type=DATA_MAG, x=132761, y=129247, z=132589
ts=17186347900, type=DATA_MAG, x=132765, y=129253, z=132577
ts=17186347908, type=DATA_MAG, x=132742, y=129265, z=132592
ts=17186347920, type=DATA_MAG, x=132762, y=129272, z=132576
ts=17186347928, type=DATA_MAG, x=132755, y=129250, z=132571
ts=17186347936, type=DATA_MAG, x=132774, y=129255, z=132574
ts=17186347948, type=DATA_MAG, x=132767, y=129242, z=132576
ts=17186347956, type=DATA_MAG, x=132767, y=129258, z=132581
ts=17186347968, type=DATA_MAG, x=132756, y=129250, z=132581
ts=17186347976, type=DATA_MAG, x=132774, y=129255, z=132584
ts=17186347984, type=DATA_MAG, x=132755, y=129260, z=132593
ts=17186347996, type=DATA_MAG, x=132773, y=129251, z=132587
ts=17186348004, type=DATA_MAG, x=132761, y=129247, z=132587
ts=17186348016, type=DATA_MAG, x=132758, y=129258, z=132588
ts=17186348024, type=DATA_MAG, x=132756, y=129256, z=132591
ts=17186348032, type=DATA_MAG, x=132765, y=129266, z=132583
ts=17186348044, type=DATA_MAG, x=132759, y=129249, z=132587
ts=17186348052, type=DATA_MAG, x=132763, y=129261, z=132582
ts=17186348064, type=DATA_MAG, x=132757, y=129252, z=132586
ts=17186348072, type=DATA_MAG, x=132762, y=129259, z=132602
ts=17186348080, type=DATA_MAG, x=132762, y=129249, z=132584
ts=17186348092, type=DATA_MAG, x=132760, y=129269, z=132592
ts=17186348100, type=DATA_MAG, x=132755, y=129274, z=132591
ts=17186348112, type=DATA_MAG, x=132758, y=129265, z=132607
ts=17186348120, type=DATA_MAG, x=132764, y=129271, z=132587
ts=17186348128, type=DATA_MAG, x=132753, y=129264, z=132588
ts=17186348140, type=DATA_MAG, x=132761, y=129274, z=132588
ts=17186348148, type=DATA_MAG, x=132763, y=129256, z=132581
ts=17186348160, type=DATA_MAG, x=132774, y=129280, z=132573
ts=17186348168, type=DATA_MAG, x=132756, y=129268, z=132586
ts=17186348176, type=DATA_MAG, x=132767, y=129274, z=132598
ts=17186348188, type=DATA_MAG, x=132757, y=129265, z=132599
ts=17186348196, type=DATA_MAG, x=132770, y=129280, z=132578
ts=17186348208, type=DATA_MAG, x=132755, y=129274, z=132578
ts=17186348216, type=DATA_MAG, x=132765, y=129275, z=132589
ts=17186348224, type=DATA_MAG, x=132754, y=129269, z=132577
ts=17186348236, type=DATA_MAG, x=132769, y=129284, z=132593
ts=17186348244, type=DATA_MAG, x=132762, y=129282, z=132583
ts=17186348256, type=DATA_MAG, x=132768, y=129288, z=132586
ts=17186348264, type=DATA_MAG, x=132765, y=129269, z=132587
ts=17186348272, type=DATA_MAG, x=132770, y=129272, z=132598
ts=17186348284, type=DATA_MAG, x=132756, y=129283, z=132585
ts=17186348292, type=DATA_MAG, x=132767, y=129279, z=132602
ts=17186348304, type=DATA_MAG, x=132764, y=129282, z=132593
ts=17186348312, type=DATA_MAG, x=132761, y=129280, z=132606
ts=17186348320, type=DATA_MAG, x=132745, y=129313, z=132582
ts=17186348332, type=DATA_MAG, x=132775, y=129279, z=132584
ts=17186348340, type=DATA_MAG, x=132779, y=129285, z=132592
ts=17186348352, type=DATA_MAG, x=132784, y=129270, z=132595
ts=17186348360, type=DATA_MAG, x=132783, y=129277, z=132592
ts=17186348368, type=DATA_MAG, x=132776, y=129290, z=132593
ts=17186348380, type=DATA_MAG, x=132785, y=129293, z=132589
ts=17186348388, type=DATA_MAG, x=132776, y=129294, z=132591
ts=17186348400, type=DATA_MAG, x=132786, y=129288, z=132590
ts=17186348408, type=DATA_MAG, x=132770, y=129295, z=132602
ts=17186348416, type=DATA_MAG, x=132778, y=129301, z=132594
ts=17186348428, type=DATA_MAG, x=132769, y=129292, z=132583
ts=17186348436, type=DATA_MAG, x=132731, y=129320, z=132684
ts=17186348448, type=DATA_MAG, x=132775, y=129293, z=132592
ts=17186348456, type=DATA_MAG, x=132778, y=129302, z=132611
ts=17186348464, type=DATA_MAG, x=132775, y=129272, z=132590
ts=17186348476, type=DATA_MAG, x=132781, y=129295, z=132582
ts=17186348484, type=DATA_MAG, x=132775, y=129287, z=132597
ts=17186348496, type=DATA_MAG, x=132783, y=129298, z=132598
ts=17186348504, type=DATA_MAG, x=132769, y=129303, z=132594
ts=17186348512, type=DATA_MAG, x=132779, y=129309, z=132597
ts=17186348524, type=DATA_MAG, x=132771, y=129293, z=132597
ts=17186348532, type=DATA_MAG, x=132777, y=129307, z=132599
ts=17186348544, type=DATA_MAG, x=132776, y=129291, z=132584
ts=17186348552, type=DATA_MAG, x=132779, y=129303, z=132599
ts=17186348560, type=DATA_MAG, x=132774, y=129293, z=132597
ts=17186348572, type=DATA_MAG, x=132736, y=129336, z=132601
ts=17186348580, type=DATA_MAG, x=132680, y=129381, z=132621
ts=17186348592, type=DATA_MAG, x=132735, y=129306, z=132611
ts=17186348600, type=DATA_MAG, x=132714, y=129331, z=132625
ts=17186348608, type=DATA_MAG, x=132732, y=129298, z=132601
ts=17186348620, type=DATA_MAG, x=132745, y=129300, z=132589
ts=17186348628, type=DATA_MAG, x=132730, y=129312, z=132601
ts=17186348640, type=DATA_MAG, x=132738, y=129314, z=132586
ts=17186348648, type=DATA_MAG, x=132743, y=129317, z=132595
ts=17186348656, type=DATA_MAG, x=132744, y=129308, z=132579
ts=17186348668, type=DATA_MAG, x=132744, y=129301, z=132597
ts=17186348676, type=DATA_MAG, x=132765, y=129298, z=132596
ts=17186348688, type=DATA_MAG, x=132748, y=129310, z=132591
ts=17186348696, type=DATA_MAG, x=132746, y=129328, z=132609
ts=17186348704, type=DATA_MAG, x=132758, y=129304, z=132601
ts=17186348716, type=DATA_MAG, x=132770, y=129317, z=132592
ts=17186348724, type=DATA_MAG, x=132760, y=129306, z=132586
ts=17186348736, type=DATA_MAG, x=132769, y=129320, z=132601
ts=17186348744, type=DATA_MAG, x=132766, y=129322, z=132596
ts=17186348752, type=DATA_MAG, x=132766, y=129307, z=132585
ts=17186348764, type=DATA_MAG, x=132765, y=129310, z=132603
ts=17186348772, type=DATA_MAG, x=132772, y=129313, z=132607
ts=17186348784, type=DATA_MAG, x=132772, y=129309, z=132597
ts=17186348792, type=DATA_MAG, x=132765, y=129305, z=132592
ts=17186348800, type=DATA_MAG, x=132764, y=129317, z=132595
ts=17186348812, type=DATA_MAG, x=132767, y=129316, z=132601
ts=17186348820, type=DATA_MAG, x=132766, y=129327, z=132582
